
start_station_id,latitude,longitude,weight
33,37.420909,-122.080623,216
23,37.487616,-122.229951,41
50,37.795392,-122.394203,7327
88,37.331957,-121.88163,3
54,37.787152,-122.388013,3236
61,37.780526,-122.390288,13407
48,37.799953,-122.398525,6683
72,37.781039,-122.411748,2931
6,37.336721,-121.894074,1535
9,37.348742,-121.894715,363
82,37.798541,-122.400862,7289
46,37.795425,-122.404767,1727
69,37.7766,-122.39547,9845
32,37.385956,-122.083678,1684
75,37.7913,-122.399051,6125
55,37.789756,-122.394643,9824
13,37.339301,-121.889937,829
90,37.780148,-122.403158,42
8,37.330165,-121.885831,301
60,37.80477,-122.403234,12313
29,37.40694,-122.106758,439
41,37.795001,-122.39997,5935
5,37.331415,-121.8932,996
37,37.448598,-122.159504,745
38,37.4256839,-122.1377775,452
12,37.332808,-121.883891,358
24,37.484219,-122.227424,53
34,37.443988,-122.164759,585
76,37.786305,-122.404966,7948
30,37.395337,-122.052476,348
39,37.783871,-122.408433,5189
28,37.394358,-122.076713,1628
70,37.776617,-122.39526,13580
89,37.332398,-121.890429,11
74,37.794139,-122.394434,10394
59,37.781332,-122.418603,1814
27,37.389218,-122.081896,2402
4,37.333988,-121.894902,2353
73,37.7979,-122.405942,2137
35,37.444521,-122.163093,273
77,37.789625,-122.400811,11101
14,37.332692,-121.900084,530
51,37.791464,-122.391034,9537
36,37.429082,-122.142805,353
62,37.785299,-122.396236,8982
80,37.352601,-121.905733,630
91,37.785908,-122.408891,21
56,37.792251,-122.397086,6755
57,37.781752,-122.405127,6234
83,37.491269,-122.236234,38
45,37.794231,-122.402923,7139
7,37.333798,-121.886943,543
84,37.342725,-121.895617,197
66,37.774814,-122.418954,4967
49,37.790302,-122.390637,5209
22,37.486078,-122.232089,354
71,37.788446,-122.408499,2304
3,37.330698,-121.888979,371
2,37.329732,-121.901782,3827
65,37.771058,-122.402717,14070
21,37.481758,-122.226904,29
16,37.333955,-121.877349,277
64,37.782259,-122.392738,10574
58,37.77865,-122.418235,1117
25,37.48537,-122.203288,639
68,37.784878,-122.401014,5342
67,37.776619,-122.417385,9600
63,37.786978,-122.398108,8894
10,37.337391,-121.886995,988
47,37.788975,-122.403452,4794
26,37.487682,-122.223492,295
11,37.335885,-121.88566,763
42,37.79728,-122.398436,5246
31,37.400443,-122.108338,1213
