
trip_id,duration_sec,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_number,zip_code,subscriber_type
363630,1340,2014-07-14 23:14:00,Japantown,9,2014-07-14 23:36:00,Japantown,9,45,95131,Customer
863444,897,2015-07-27 11:33:00,Japantown,9,2015-07-27 11:48:00,Japantown,9,690,27518,Customer
911234,8216,2015-08-30 10:00:00,Japantown,9,2015-08-30 12:17:00,Japantown,9,668,95111,Customer
287040,2957,2014-05-16 12:21:00,Japantown,9,2014-05-16 13:10:00,Japantown,9,710,95111,Customer
4534,1439,2013-08-29 13:43:00,Japantown,9,2013-08-29 14:07:00,Japantown,9,644,95125,Customer
105373,90,2013-11-23 00:56:00,Japantown,9,2013-11-23 00:58:00,Japantown,9,297,89450,Customer
1132996,1809,2016-03-22 15:40:00,Japantown,9,2016-03-22 16:10:00,Japantown,9,176,44,Customer
106152,4168,2013-11-24 09:55:00,Japantown,9,2013-11-24 11:05:00,Japantown,9,21,95131,Customer
150635,679,2014-01-12 15:08:00,Japantown,9,2014-01-12 15:20:00,Japantown,9,717,95148,Customer
218374,863,2014-03-18 14:39:00,Japantown,9,2014-03-18 14:53:00,Japantown,9,82,96706,Customer
411185,16078,2014-08-15 20:16:00,Japantown,9,2014-08-16 00:44:00,Japantown,9,178,91745,Customer
21894,1141,2013-09-14 22:06:00,Japantown,9,2013-09-14 22:25:00,Japantown,9,96,94538,Customer
287039,2984,2014-05-16 12:20:00,Japantown,9,2014-05-16 13:10:00,Japantown,9,184,95111,Customer
45472,13590,2013-10-04 09:30:00,Japantown,9,2013-10-04 13:16:00,Japantown,9,77,95106,Customer
42854,1484,2013-10-02 12:06:00,Japantown,9,2013-10-02 12:31:00,Japantown,9,640,95120,Customer
263330,3887,2014-04-28 14:24:00,Japantown,9,2014-04-28 15:28:00,Japantown,9,77,90069,Customer
871993,9102,2015-08-01 20:09:00,Japantown,9,2015-08-01 22:40:00,Japantown,9,125,94538,Customer
1271030,6535,2016-07-10 17:58:00,Japantown,9,2016-07-10 19:47:00,Japantown,9,257,95050,Customer
363636,1325,2014-07-15 00:08:00,Japantown,9,2014-07-15 00:30:00,Japantown,9,79,95131,Customer
252217,6177,2014-04-17 15:11:00,Japantown,9,2014-04-17 16:54:00,Japantown,9,658,94545,Customer
105356,819,2013-11-23 00:00:00,Japantown,9,2013-11-23 00:13:00,Japantown,9,228,96145,Customer
867549,359,2015-07-29 16:47:00,Japantown,9,2015-07-29 16:53:00,Japantown,9,130,54751,Customer
1183159,157,2016-04-30 19:40:00,Japantown,9,2016-04-30 19:43:00,Japantown,9,644,82901,Customer
363635,1375,2014-07-15 00:07:00,Japantown,9,2014-07-15 00:30:00,Japantown,9,45,95121,Customer
920834,3998,2015-09-06 10:55:00,Japantown,9,2015-09-06 12:01:00,Japantown,9,643,95122,Customer
38121,246966,2013-09-27 23:52:00,Japantown,9,2013-09-30 20:29:00,Japantown,9,99,95123,Customer
105353,1216,2013-11-22 23:51:00,Japantown,9,2013-11-23 00:11:00,Japantown,9,682,96145,Customer
252219,6164,2014-04-17 15:12:00,Japantown,9,2014-04-17 16:55:00,Japantown,9,717,94545,Customer
863445,799,2015-07-27 11:34:00,Japantown,9,2015-07-27 11:47:00,Japantown,9,231,28403,Customer
454375,89789,2014-09-15 19:16:00,Japantown,9,2014-09-16 20:13:00,Japantown,9,702,94043,Customer
158480,930,2014-01-18 19:09:00,Japantown,9,2014-01-18 19:24:00,Japantown,9,177,94564,Customer
682535,505,2015-03-15 14:45:00,Japantown,9,2015-03-15 14:53:00,Japantown,9,43,56,Customer
554369,15653,2014-11-21 19:20:00,Japantown,9,2014-11-21 23:41:00,Japantown,9,691,95122,Customer
1279840,3491,2016-07-18 00:33:00,Japantown,9,2016-07-18 01:32:00,Japantown,9,18,9133,Customer
911233,8217,2015-08-30 10:00:00,Japantown,9,2015-08-30 12:17:00,Japantown,9,176,95116,Customer
163425,3798,2014-01-23 13:41:00,Japantown,9,2014-01-23 14:44:00,Japantown,9,256,95158,Customer
626176,5348,2015-01-30 21:19:00,Japantown,9,2015-01-30 22:49:00,Japantown,9,10,95128,Customer
554506,33919,2014-11-22 01:33:00,Japantown,9,2014-11-22 10:58:00,Japantown,9,31,95148,Customer
1268871,3035,2016-07-08 02:41:00,Japantown,9,2016-07-08 03:31:00,Japantown,9,145,95121,Customer
363629,1518,2014-07-14 23:11:00,Japantown,9,2014-07-14 23:36:00,Japantown,9,79,95121,Customer
158470,1034,2014-01-18 18:51:00,Japantown,9,2014-01-18 19:08:00,Japantown,9,242,94541,Customer
1296884,1426,2016-07-30 17:38:00,Japantown,9,2016-07-30 18:02:00,Japantown,9,213,95126,Customer
261818,4372,2014-04-26 13:53:00,Japantown,9,2014-04-26 15:05:00,Japantown,9,187,6901,Customer
1268872,3052,2016-07-08 02:41:00,Japantown,9,2016-07-08 03:31:00,Japantown,9,49,95219,Customer
105355,867,2013-11-22 23:59:00,Japantown,9,2013-11-23 00:13:00,Japantown,9,21,96145,Customer
133313,751,2013-12-21 23:48:00,Japantown,9,2013-12-22 00:00:00,Japantown,9,119,95127,Customer
270641,3879,2014-05-03 15:55:00,Japantown,9,2014-05-03 17:00:00,Japantown,9,30,95124,Customer
871992,9104,2015-08-01 20:08:00,Japantown,9,2015-08-01 22:40:00,Japantown,9,231,94538,Customer
473194,1379,2014-09-28 18:21:00,Japantown,9,2014-09-28 18:44:00,Japantown,9,667,95148,Customer
159381,1729,2014-01-20 13:16:00,Japantown,9,2014-01-20 13:45:00,Japantown,9,83,95127,Customer
973944,80,2015-10-16 14:52:00,Japantown,9,2015-10-16 14:54:00,Japantown,9,658,95111,Customer
