
hour,f0_
0,1696
1,797
2,420
3,427
4,1273
5,4799
6,19830
7,65900
8,128999
9,90264
10,34888
11,30712
12,36382
13,33029
14,27590
15,37424
16,79000
17,118332
18,78188
19,36584
20,19492
21,12828
22,8343
23,4797
